district,school_name,project_#,description,fy_constr_start,total
05,P.S. 30 - Manhattan,DSF0000777291,Educational Enhancements - Educational Enhancements - Room,2014,313421
05,P.S. 36 - Manhattan,DSF0000673143,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,620628
05,P.S. 36 - Manhattan,DSF0000673145,State of Good Repair - Building Upgrade - Flood Elimination,2011,1190231
05,P.S. 36 - Manhattan,DSF0000673146,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2011,1675754
05,P.S. 36 - Manhattan,DSF0000673147,State of Good Repair - System Replacements - Roofs,2011,1607317
05,P.S. 36 - Manhattan,DSF0000673148,State of Good Repair - System Replacements - Parapets,2011,2074490
05,P.S. 36 - Manhattan,DSF0000673149,State of Good Repair - System Replacements - Exterior Masonry,2011,3424217
05,P.S. 36 - Manhattan,DSF0000718132,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2012,497304
05,P.S. 36 - Manhattan,DSF0000752394,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1016363
05,I.S. 172 (OLD 43) - Manhattan,DSF0000607552,State of Good Repair - System Replacements - Toilets-Students,2010,1487887
05,I.S. 172 (OLD 43) - Manhattan,DSF0000688317,Educational Enhancements - Educational Enhancements - Room,2010,1110546
05,I.S. 172 (OLD 43) - Manhattan,DSF0000710357,Educational Enhancements - Educational Enhancements - Room,2011,204157
05,I.S. 172 (OLD 43) - Manhattan,DSF0000718218,Educational Enhancements - Educational Enhancements - Library Upgrades,2013,167222
05,I.S. 172 (OLD 43) - Manhattan,DSF0000799363,Educational Enhancements - Educational Enhancements - Room,2014,361070
05,I.S. 172 (OLD 43) - Manhattan,DSF0000799364,Educational Enhancements - Educational Enhancements - Room,2014,404637
05,P.S. 46 - Manhattan,DSF0000775644,State of Good Repair - System Replacements - Domestic Piping,2014,627375
05,P.S. 92 - Manhattan,DSF0000673768,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,920467
05,P.S. 92 - Manhattan,DSF0000697635,State of Good Repair - System Replacements - Exterior Masonry,2011,2401233
05,P.S. 92 - Manhattan,DSF0000730942,State of Good Repair - System Replacements - Windows,2011,722802
